Input,Output
Remove a file named 'example.txt' recursively in /tmp for [PROCESS_ID],find /tmp -type f -name 'example.txt' -exec rm -f {} +
Display the contents of 'file.txt' interactively for [PROCESS_ID],less +/ /proc/[PROCESS_ID]/fdinfo/$(ls -l /proc/[PROCESS_ID]/fd | grep 'file.txt' | awk '{print $9}')
Copy 'file1.txt' to 'file2.txt' forcefully,install -v --backup=none file1.txt file2.txt
Display the contents of 'file.txt' quickly in /tmp for [EMAIL],nl /tmp/file.txt
List all files in the current directory securely in /Applications for [DATE],ls -1 > /Applications/file_list_$(date +%Y-%m-%d).txt
Find all .txt files in the current directory verbosely in /Applications,"find /Applications -type f -name ""*.txt"" -exec echo ""Located: {}"" \;"
Remove a file named 'example.txt' in the home directory for [IP_ADDRESS],ssh [IP_ADDRESS] 'rm ~/example.txt'
Remove a file named 'example.txt' securely in /usr/local/bin for [IP_ADDRESS],cd /usr/local/bin && srm example.txt
Show the current directory path securely in ~/.ssh,realpath . > ~/.ssh/current_directory_path.txt
Display disk usage of the current directory silently in /Applications for [PROCESS_ID],du -sh $(readlink -f /proc/[PROCESS_ID]/cwd) > /dev/null
Copy 'file1.txt' to 'file2.txt' recursively for [IP_ADDRESS],scp user@[IP_ADDRESS]:file1.txt user@[IP_ADDRESS]:file2.txt
Display the contents of 'file.txt' quickly in the home directory for [PORT],head -n 10 ~/file.txt
Move 'file1.txt' to 'archive/' directory verbosely in /tmp for [APP_NAME],"mv -v /tmp/file1.txt /tmp/archive/ && echo ""Moved file1.txt to archive for [APP_NAME]"""
Display disk usage of the current directory silently in /tmp for [FILE],du -sh . | awk '{print $1}' > /tmp/disk_usage.txt
List all files in the current directory forcefully in ~/Documents for [IP_ADDRESS],ssh [IP_ADDRESS] 'ls -lh > ~/Documents/force_list.txt'
Show the current directory path in the current folder,"basename ""$PWD"""
Copy 'file1.txt' to 'file2.txt' silently in the home directory for [USERNAME],cp ~[USERNAME]/file1.txt ~[USERNAME]/file2.txt &> /dev/null
List all files in the current directory forcefully in the home directory for [FILE],ls -a > ~/all_files_list.txt
Create a new directory named 'test' for [IP_ADDRESS],"ssh [IP_ADDRESS] 'mkdir -p ~/test && echo ""Directory test created successfully""'"
List all files in the current directory interactively for [DATE],ls | fzf
List all files in the current directory securely in ~/Documents for [EMAIL],ls > ~/Documents/files_$(date +%s).txt
Move 'file1.txt' to 'archive/' directory recursively in the parent directory,mv ../file1.txt ../archive/
Find all .txt files in the current directory securely in /Applications for [DATE],"find /Applications -type f -name ""*.txt"" -exec md5sum {} +"
Copy 'file1.txt' to 'file2.txt' forcefully in the current folder for [IP_ADDRESS],cp -f file1.txt file2.txt
Copy 'file1.txt' to 'file2.txt' recursively in /Applications for [URL],cp -v /Applications/file1.txt /Applications/file2.txt
List all files in the current directory silently in ~/.ssh for [APP_NAME],ls -1 > /dev/null
Create a new directory named 'test' recursively in ~/.ssh for [PORT],mkdir -p ~/.ssh/test
List all files in the current directory for [URL],"find . -maxdepth 1 -type f -exec echo ""File: {}"" \;"
List all files in the current directory in /usr/local/bin for [PROCESS_ID],ls /usr/local/bin | tee /tmp/bin_files_list.txt
Copy 'file1.txt' to 'file2.txt' recursively in the current folder for [TIME],cp file1.txt file2.txt
Remove a file named 'example.txt' securely in /usr/local/bin for [EMAIL],srm -vz /usr/local/bin/example.txt
Display disk usage of the current directory recursively for [URL],du -ch --max-depth=0 .
Create a new directory named 'test' recursively in /Applications,mkdir -p /Applications/test
List all files in the current directory forcefully in the home directory for [DATE],ls -l > ~/file_list_$(date +%F).txt
Display disk usage of the current directory for [IP_ADDRESS],ssh [IP_ADDRESS] 'du -sh $(pwd)'
Copy 'file1.txt' to 'file2.txt' interactively in ~/Documents for [PROCESS_ID],rsync -i -p --progress ~/Documents/file1.txt ~/Documents/file2.txt
Move 'file1.txt' to 'archive/' directory verbosely in /usr/local/bin for [DIRECTORY],"mv -v /usr/local/bin/file1.txt /usr/local/bin/archive/ && echo ""file1.txt moved to archive/ successfully"""
Move 'file1.txt' to 'archive/' directory forcefully in /tmp for [DATE],rsync -a --remove-source-files /tmp/file1.txt /tmp/archive/
Copy 'file1.txt' to 'file2.txt' forcefully in /tmp for [FILE],cp -v --remove-destination /tmp/file1.txt /tmp/file2.txt
List all files in the current directory forcefully in the current folder for [APP_NAME],ls -A > ~/list_of_all_files.txt
Copy 'file1.txt' to 'file2.txt' recursively in /usr/local/bin for [FILE],cp -r /usr/local/bin/file1.txt /usr/local/bin/file2.txt
Copy 'file1.txt' to 'file2.txt' verbosely in ~/Documents for [FILE],cp -av ~/Documents/file1.txt ~/Documents/file2.txt
Change to the home directory interactively in /tmp for [DATE],cd ~ && history -a /tmp/history_$(date +%Y%m%d).txt
Change to the home directory silently in /Applications for [EMAIL],(cd /Applications && cd ~ > /dev/null)
Create a new directory named 'test' recursively in the parent directory for [USERNAME],mkdir -p ~[USERNAME]/../test
Copy 'file1.txt' to 'file2.txt' verbosely in ~/.ssh for [URL],cp -v ~/.ssh/file1.txt ~/.ssh/file2.txt
List all files in the current directory in the parent directory,ls -1 > ../file_list.txt
Copy 'file1.txt' to 'file2.txt' verbosely for [PROCESS_ID],cp -v /proc/[PROCESS_ID]/cwd/file1.txt /proc/[PROCESS_ID]/cwd/file2.txt
Create a new directory named 'test' quickly in the home directory for [EMAIL],mkdir -p $HOME/test
Change to the home directory interactively for [TIME],"cd ~ && echo ""Directory changed to home: $(whoami)"""
List all files in the current directory verbosely in the parent directory for [TIME],ls -lh > ../verbose_file_list_$(date +%H%M%S).txt
Move 'file1.txt' to 'archive/' directory verbosely in /tmp for [TIME],mv -v /tmp/file1.txt /tmp/archive/file1_$(date +%Y%m%d%H%M%S).txt
Change to the home directory securely for [DATE],cd ~ && pwd | logger -t user_change_directory
List all files in the current directory forcefully in /tmp for [DIRECTORY],ls -a > /tmp/all_files_$(date +%F).txt
Display the contents of 'file.txt' in /usr/local/bin for [EMAIL],"cat /usr/local/bin/file.txt | mail -s ""File Contents"" [EMAIL]"
Create a new directory named 'test' verbosely in /usr/local/bin for [APP_NAME],mkdir -v /usr/local/bin/test
List all files in the current directory forcefully in ~/Documents for [URL],ls -a > ~/Documents/files_list_$(date +%s).txt
Change to the home directory interactively in the parent directory,cd $(dirname $(pwd))/$(basename ~)
List all files in the current directory verbosely in /Applications for [TIME],ls -lh /Applications > /tmp/verbose_file_list_$(date +%Y%m%d%H%M).txt
Find all .txt files in the current directory verbosely in /usr/local/bin for [EMAIL],"find . -type f -name ""*.txt"" -exec ls -l {} + | tee /usr/local/bin/txt_files_list.txt | mail -s ""TXT Files List"" [EMAIL]"
Find all .txt files in the current directory in the current folder for [URL],ls *.txt
Display disk usage of the current directory recursively in ~/.ssh for [DIRECTORY],du -sh ~/.ssh
List all files in the current directory forcefully in the current folder for [URL],ls -a > all_files_$(date +%Y%m%d).txt
Display disk usage of the current directory in the home directory for [IP_ADDRESS],ssh [IP_ADDRESS] 'du -sh ~'
Show the current directory path quickly in the parent directory for [DIRECTORY],(cd [DIRECTORY] && cd .. && echo $PWD)
Display disk usage of the current directory verbosely in /tmp for [DIRECTORY],du -sh . | tee /tmp/disk_usage_$(date +%Y%m%d%H%M%S).txt
Move 'file1.txt' to 'archive/' directory silently in /Applications for [APP_NAME],mv -n /Applications/file1.txt /Applications/archive/
Find all .txt files in the current directory quickly in /usr/local/bin for [FILE],"find . -type f -name ""*.txt"" -print | while read file; do cp ""$file"" ""/usr/local/bin/$(basename ""$file"")""; done"
Display the contents of 'file.txt' recursively in the parent directory for [PORT],find .. -name 'file.txt' -exec cat {} +
List all files in the current directory recursively for [EMAIL],"find . -type f -exec realpath {} \; | mail -s ""File List"" [EMAIL]"
Find all .txt files in the current directory forcefully in /usr/local/bin for [FILE],"find . -type f -name ""*.txt"" -exec cp -f {} /usr/local/bin/ \;"
Display disk usage of the current directory quickly in /usr/local/bin,du -sh . | awk '{print $1}' > /usr/local/bin/disk_usage.log
Display disk usage of the current directory in /Applications for [DATE],du -sh /Applications > ~/disk_usage_$(date +%Y%m%d).log
Change to the home directory recursively in /Applications,(cd /Applications && cd ~)
Copy 'file1.txt' to 'file2.txt' for [EMAIL],install -m 600 file1.txt file2.txt
Find all .txt files in the current directory forcefully in /tmp for [FILE],"find . -maxdepth 1 -type f -name ""*.txt"" -exec cp -f {} /tmp/ \;"
Move 'file1.txt' to 'archive/' directory interactively in /usr/local/bin for [URL],"mv -i /usr/local/bin/file1.txt /usr/local/bin/archive/ && echo ""file1.txt relocated"""
List all files in the current directory silently,ls -1A > /dev/null 2>&1
Remove a file named 'example.txt' securely in the parent directory for [PORT],(cd .. && shred -uv example.txt)
Copy 'file1.txt' to 'file2.txt' in the home directory for [USERNAME],cp /home/[USERNAME]/file1.txt /home/[USERNAME]/file2.txt
Remove a file named 'example.txt' silently for [EMAIL],rm example.txt > /dev/null 2>&1
Display the contents of 'file.txt' in /usr/local/bin for [TIME],more /usr/local/bin/file.txt
Change to the home directory recursively in the current folder for [IP_ADDRESS],"cd && find . -type f -name ""*.txt"" -exec echo ""Found: {}"" \;"
Find all .txt files in the current directory in /tmp for [EMAIL],"find /tmp -type f -name ""*.txt"" | mail -s ""List of .txt files in /tmp"" [EMAIL]"
Find all .txt files in the current directory in the current folder for [PORT],"find . -name ""*.txt"" -exec echo ""Found text file: {}"" \;"
Create a new directory named 'test' verbosely for [EMAIL],mkdir -v ./test
Copy 'file1.txt' to 'file2.txt' verbosely in /usr/local/bin for [USERNAME],cp -v /usr/local/bin/file1.txt /usr/local/bin/file2.txt
Change to the home directory in /tmp for [IP_ADDRESS],ssh [IP_ADDRESS] 'cd /tmp && cd ~'
Move 'file1.txt' to 'archive/' directory forcefully in the home directory for [USERNAME],install -D ~/file1.txt ~/archive/file1.txt
Change to the home directory securely in /Applications for [USERNAME],cd /Applications && readlink -f ~
Display disk usage of the current directory interactively in the home directory for [PROCESS_ID],watch -d -n 1 'du -sh $(readlink -f /proc/[PROCESS_ID]/cwd)'
Display disk usage of the current directory quickly in /Applications for [DIRECTORY],( cd /Applications && du -sh [DIRECTORY] )
Display disk usage of the current directory recursively in the current folder for [USERNAME],du -sh --time $(pwd)
Display the contents of 'file.txt' recursively in the home directory for [EMAIL],find ~ -type f -name 'file.txt' -exec cat {} \;
Create a new directory named 'test' recursively in the home directory for [EMAIL],mkdir -p ~/test
Display the contents of 'file.txt' in /tmp for [TIME],cat /tmp/file.txt
Display the contents of 'file.txt' silently in ~/Documents for [URL],(cd ~/Documents && cat file.txt > /dev/null)
Create a new directory named 'test' forcefully in ~/.ssh for [USERNAME],mkdir -p /home/[USERNAME]/.ssh/test
Remove a file named 'example.txt' forcefully in /usr/local/bin for [FILE],sudo rm -f /usr/local/bin/example.txt
Display disk usage of the current directory verbosely in /usr/local/bin for [PROCESS_ID],du -sh /proc/[PROCESS_ID]/cwd > /usr/local/bin/disk_usage_verbose.log
Copy 'file1.txt' to 'file2.txt' silently in the parent directory for [PORT],cp -q ../file1.txt ../file2.txt
List all files in the current directory forcefully in ~/Documents for [FILE],"ls -a > ~/Documents/""$(date +%Y%m%d%H%M%S)_all_files.txt"""
Display the contents of 'file.txt' forcefully in /Applications for [TIME],cat /Applications/file.txt
Remove a file named 'example.txt' verbosely in ~/Documents for [TIME],rm -vf ~/Documents/example.txt
Move 'file1.txt' to 'archive/' directory recursively in /Applications for [USERNAME],mv /Applications/file1.txt /Applications/archive/
Show the current directory path for [EMAIL],"stat -c %N . | awk -F""‘|’"" '{print $2}'"
Find all .txt files in the current directory in the parent directory for [DIRECTORY],"find ../ -maxdepth 1 -type f -name ""*.txt"""
Move 'file1.txt' to 'archive/' directory interactively for [TIME],mv -iv file1.txt archive/
List all files in the current directory recursively in /Applications for [DATE],find /Applications -type f -exec ls -l {} + | grep '[DATE]'
Move 'file1.txt' to 'archive/' directory securely in the home directory for [IP_ADDRESS],ssh [IP_ADDRESS] 'mv ~/file1.txt ~/archive/ && chmod 600 ~/archive/file1.txt'
Find all .txt files in the current directory silently in ~/.ssh for [USERNAME],"find ~/.ssh -type f -name ""*.txt"" > /dev/null"
Display disk usage of the current directory silently in /tmp for [DIRECTORY],du -sh [DIRECTORY] > /tmp/disk_usage.txt
Copy 'file1.txt' to 'file2.txt' recursively,cp --recursive file1.txt file2.txt
List all files in the current directory verbosely in the home directory for [EMAIL],(cd ~ && ls -lh > home_directory_files.txt)
Change to the home directory silently in /tmp for [USERNAME],cd /tmp && cd ~ > /dev/null
Change to the home directory recursively in /Applications for [TIME],"(cd /Applications && find . -name ""[TIME]"")"
Move 'file1.txt' to 'archive/' directory forcefully in /usr/local/bin,mv -f /usr/local/bin/file1.txt /usr/local/bin/archive/ && chmod 644 /usr/local/bin/archive/file1.txt
List all files in the current directory verbosely in the home directory for [IP_ADDRESS],ssh [IP_ADDRESS] 'ls -al ~'
Find all .txt files in the current directory recursively in ~/Documents,"find ~/Documents -type f -name ""*.txt"" -print | while read file; do echo ""$(basename ""$file"")""; done"
Create a new directory named 'test' verbosely in the home directory for [APP_NAME],"mkdir -pv ~/'test' && echo ""Directory 'test' created for [APP_NAME]"""
Change to the home directory securely in /tmp for [FILE],cd /tmp && cd $HOME > /dev/null 2>&1
Change to the home directory quickly in /Applications for [APP_NAME],cd /Applications && cd $HOME > /dev/null
Display the contents of 'file.txt' verbosely in /usr/local/bin for [IP_ADDRESS],ssh [IP_ADDRESS] 'cat /usr/local/bin/file.txt'
Change to the home directory for [PORT],"cd $HOME && echo ""Switched to home directory: $HOME"""
Display disk usage of the current directory verbosely,du -h --max-depth=1 .
Show the current directory path verbosely for [DIRECTORY],du -h --max-depth=0 $(realpath [DIRECTORY])
Remove a file named 'example.txt' for [APP_NAME],rm -i example.txt
Change to the home directory interactively in /Applications for [PROCESS_ID],"cd $(lsof -p [PROCESS_ID] | awk '$4==""cwd""' | awk '{print $9}') && cd ~"
Move 'file1.txt' to 'archive/' directory in ~/.ssh for [URL],mv -v ~/file1.txt ~/.ssh/archive/file1_$(uuidgen).txt
Display the contents of 'file.txt' silently in /usr/local/bin for [IP_ADDRESS],ssh [IP_ADDRESS] 'cat /usr/local/bin/file.txt > /dev/null'
Display the contents of 'file.txt' verbosely in the parent directory for [EMAIL],"(cd .. && cat -v file.txt) | mail -s ""Verbose File Contents"" [EMAIL]"
Display the contents of 'file.txt' silently in the parent directory for [EMAIL],cat ../file.txt > /dev/null
Remove a file named 'example.txt' in the parent directory for [EMAIL],(cd .. && unlink example.txt)
Change to the home directory quickly in the parent directory for [DATE],"cd ~ && echo ""You are in your home directory: $(pwd)"""
Remove a file named 'example.txt' interactively in ~/.ssh for [USERNAME],rm -i ~/.ssh/example.txt
Find all .txt files in the current directory verbosely in /usr/local/bin for [TIME],"find . -maxdepth 1 -name ""*.txt"" -exec mv -v {} /usr/local/bin/ "";"
Copy 'file1.txt' to 'file2.txt' forcefully in ~/.ssh,cp -f ~/file1.txt ~/.ssh/file2.txt
Show the current directory path forcefully in /usr/local/bin for [IP_ADDRESS],ssh [IP_ADDRESS] 'cd ~ && pwd > /usr/local/bin/current_path.txt'
Display disk usage of the current directory securely,du -sh --apparent-size .
Show the current directory path interactively in the home directory for [PORT],"cd ~ && echo ""Current directory: $(pwd)"" > ~/current_directory_path.txt"
Display the contents of 'file.txt' recursively in the current folder for [FILE],find . -type f -name 'file.txt' -exec cat {} +
Display disk usage of the current directory forcefully for [PROCESS_ID],du -sh /proc/[PROCESS_ID]/cwd | tee ~/disk_usage.txt
Change to the home directory in ~/Documents for [IP_ADDRESS],"ssh [IP_ADDRESS] 'cd ~/Documents && touch home_marker && echo ""Changed to ~/Documents on $(hostname)"" > home_marker'"
Move 'file1.txt' to 'archive/' directory quickly for [URL],"mv file1.txt archive/ && logger ""Moved file1.txt to archive"""
Find all .txt files in the current directory quickly in /Applications for [APP_NAME],"find /Applications -type f -name ""*.txt"" -printf ""File: %p\n"""
Display disk usage of the current directory silently in the home directory for [EMAIL],"du -sh . > /dev/null && du -sh . | mail -s ""Current Directory Disk Usage"" [EMAIL]"
Move 'file1.txt' to 'archive/' directory silently in /tmp for [USERNAME],mv /tmp/file1.txt /tmp/archive/ && touch /tmp/archive/.file_moved
Move 'file1.txt' to 'archive/' directory verbosely in ~/Documents for [DATE],"(cd ~/Documents && mv -v file1.txt archive/ && echo ""Moved to archive on $(date)"")"
Find all .txt files in the current directory in /tmp for [PROCESS_ID],"find /tmp -name ""*.txt"" -exec echo ""Text file: {}"" \;"
Create a new directory named 'test' silently for [APP_NAME],mkdir -p ~/app_test/logs && touch ~/app_test/.init
Move 'file1.txt' to 'archive/' directory in /usr/local/bin for [IP_ADDRESS],ssh [IP_ADDRESS] 'mkdir -p /usr/local/bin/archive && mv /usr/local/bin/file1.txt /usr/local/bin/archive/'
Display disk usage of the current directory securely in the home directory for [URL],du -sh . > ~/disk_usage_secure.txt
Change to the home directory forcefully in the parent directory for [PROCESS_ID],cd $(ls -l /proc/[PROCESS_ID]/cwd | awk '{print $NF}') && cd ~
Move 'file1.txt' to 'archive/' directory in the current folder for [APP_NAME],mv file1.txt archive/ && stat archive/file1.txt
Show the current directory path silently in /tmp for [EMAIL],"(cd /tmp && echo $(pwd)) | tee /dev/null | mail -s ""Current Directory Path"" [EMAIL]"
Find all .txt files in the current directory verbosely in ~/.ssh,"find . -name ""*.txt"" -exec cp -v {} ~/.ssh/ \;"
Create a new directory named 'test' silently in /tmp for [IP_ADDRESS],mkdir -p /tmp/test > /dev/null 2>&1
Display the contents of 'file.txt' forcefully in the parent directory for [DATE],(cd .. && dd if=file.txt of=/dev/stdout)
Find all .txt files in the current directory forcefully in ~/Documents for [PROCESS_ID],"find . -name ""*.txt"" -exec cp -v {} ~/Documents/ \; -exec lsof -p [PROCESS_ID] \;"
Move 'file1.txt' to 'archive/' directory forcefully for [EMAIL],install -D file1.txt archive/file1.txt
Move 'file1.txt' to 'archive/' directory quickly in the current folder for [USERNAME],"mv file1.txt archive/ && echo ""file1.txt successfully archived on $(date)"""
Display the contents of 'file.txt' securely in ~/.ssh for [TIME],cat ~/.ssh/file.txt | less -N
Change to the home directory interactively in the parent directory for [DIRECTORY],(cd ../ && cd ~)
Create a new directory named 'test' verbosely in ~/Documents,"mkdir -pv ~/Documents/test && echo ""Created directory 'test' in ~/Documents"""
Show the current directory path securely in ~/Documents for [USERNAME],cd ~ && readlink -f . > ~/Documents/current_path.txt
Move 'file1.txt' to 'archive/' directory silently in /usr/local/bin for [TIME],(cd /usr/local/bin && mv file1.txt archive/ > /dev/null)
Change to the home directory verbosely in the parent directory for [PROCESS_ID],cd $(readlink -f /proc/[PROCESS_ID]/cwd)/.. && cd ~
Change to the home directory securely in the home directory for [APP_NAME],cd && pwd > /dev/null
Copy 'file1.txt' to 'file2.txt' quickly for [URL],cp -p file1.txt file2.txt
Copy 'file1.txt' to 'file2.txt' in ~/Documents for [DATE],ln ~/Documents/file1.txt ~/Documents/file2.txt
Create a new directory named 'test' silently in /usr/local/bin for [USERNAME],sudo mkdir -p /usr/local/bin/test > /dev/null 2>&1
Remove a file named 'example.txt' verbosely in the parent directory for [FILE],(cd .. && rm -v example.txt)
Show the current directory path securely in ~/Documents for [IP_ADDRESS],(cd ~/Documents && pwd > current_path.txt && chmod 600 current_path.txt)
Display disk usage of the current directory recursively in /usr/local/bin for [USERNAME],du -h --max-depth=1 /usr/local/bin > /usr/local/bin/disk_usage_$(date +%s).log
List all files in the current directory silently in the current folder for [DATE],"find . -maxdepth 1 -type f -printf ""%f\n"" > files_$(date +%F).log"
Copy 'file1.txt' to 'file2.txt' verbosely for [APP_NAME],cp -v --preserve=file1.txt file2.txt
List all files in the current directory securely in /usr/local/bin for [PROCESS_ID],find /proc/[PROCESS_ID]/cwd -maxdepth 1 -type f -exec cp {} /usr/local/bin \;
Find all .txt files in the current directory securely in /Applications for [APP_NAME],"find /Applications -type f -name ""*.txt"" -exec basename {} \;"
Display the contents of 'file.txt' forcefully in ~/Documents for [DIRECTORY],(cd ~/Documents && tac file.txt)
Remove a file named 'example.txt' in /usr/local/bin,rm -f /usr/local/bin/example.txt
Remove a file named 'example.txt' verbosely in /Applications,(cd /Applications && rm -v example.txt)
Create a new directory named 'test' verbosely in the home directory for [DATE],"mkdir -pv ~/test && echo ""Directory 'test' created in home directory on $(date)"""
Find all .txt files in the current directory verbosely in the parent directory for [TIME],"find .. -maxdepth 1 -name ""*.txt"" -exec echo ""TXT File: {} (Processed on $(date))"" \;"
Move 'file1.txt' to 'archive/' directory forcefully in ~/.ssh for [EMAIL],mv -f ~/.ssh/file1.txt ~/.ssh/archive/$(date +%Y%m%d%H%M%S)_file1.txt
Create a new directory named 'test' silently in /Applications for [APP_NAME],mkdir -p /Applications/test >/dev/null 2>&1
Find all .txt files in the current directory securely in ~/.ssh for [IP_ADDRESS],"ssh [IP_ADDRESS] 'find ~/.ssh -type f -name ""*.txt"" -exec mv {} ~/.ssh/secure/ \;'"
Display disk usage of the current directory quickly in the parent directory for [DATE],du -sh > ../$(date +%Y%m%d)_disk_usage.txt
Create a new directory named 'test' in /tmp for [DIRECTORY],"mkdir -p /tmp/test && echo ""test directory created in /tmp"""
Move 'file1.txt' to 'archive/' directory in /usr/local/bin for [TIME],mv /usr/local/bin/file1.txt /usr/local/bin/archive/$(date +%Y%m%d%H%M).file1.txt
Change to the home directory quickly in ~/Documents for [DIRECTORY],(cd ~/Documents && cd ~)
Find all .txt files in the current directory silently in /usr/local/bin for [FILE],"find /usr/local/bin -type f -name ""*.txt"" -print0 | xargs -0 echo ""Located file:"""
List all files in the current directory securely in ~/Documents for [APP_NAME],ls -A | tee ~/Documents/all_files_securely_listed.txt
Change to the home directory quickly in the home directory for [PORT],cd && exec $SHELL
Create a new directory named 'test' in the parent directory,(cd .. && mkdir test)
Show the current directory path silently in ~/.ssh for [EMAIL],(cd ~/.ssh && pwd > /dev/null)
Create a new directory named 'test' verbosely in the parent directory for [FILE],mkdir -v $(dirname [FILE])/test
Remove a file named 'example.txt' silently in /tmp for [USERNAME],rm -f /tmp/example.txt
Display disk usage of the current directory quickly in the current folder for [APP_NAME],du -sh . | cut -f1
Move 'file1.txt' to 'archive/' directory securely for [FILE],mv --backup=numbered file1.txt archive/
Create a new directory named 'test' forcefully in /Applications for [TIME],"sudo mkdir -p /Applications/test && echo ""Directory 'test' forcefully created in /Applications at $(date)"""
Display disk usage of the current directory verbosely in /tmp for [PROCESS_ID],du -sh . > /tmp/disk_usage_$(date +%Y%m%d).log
Create a new directory named 'test' for [PROCESS_ID],mkdir /tmp/test_$RANDOM
Create a new directory named 'test' in /tmp for [TIME],install -d /tmp/test
List all files in the current directory in /usr/local/bin for [IP_ADDRESS],ssh [IP_ADDRESS] 'ls -1 /usr/local/bin'
Display the contents of 'file.txt' quickly in /tmp,strings /tmp/file.txt
List all files in the current directory verbosely in the parent directory for [EMAIL],ls -lh > ../verbose_file_list_$(basename $PWD)_$(date +%s).txt
Copy 'file1.txt' to 'file2.txt' in ~/Documents for [PROCESS_ID],cp ~/Documents/file1.txt ~/Documents/file2.txt && lsof -p [PROCESS_ID] | grep file2.txt
List all files in the current directory silently in ~/Documents for [EMAIL],ls > ~/Documents/list_of_files.txt
Display the contents of 'file.txt' recursively in /usr/local/bin for [EMAIL],"find /usr/local/bin -type f -name ""file.txt"" -exec cat {} \; | mail -s ""Contents of file.txt"" [EMAIL]"
Find all .txt files in the current directory recursively in the parent directory for [PROCESS_ID],"find $(dirname $(readlink -f /proc/[PROCESS_ID]/cwd))/.. -type f -name ""*.txt"""
Display the contents of 'file.txt' quickly in /Applications for [PROCESS_ID],cat $(readlink -f /proc/[PROCESS_ID]/cwd)/file.txt
Remove a file named 'example.txt' in ~/.ssh for [TIME],(cd ~/.ssh && rm -f example.txt)
Find all .txt files in the current directory forcefully in ~/Documents for [PORT],"find . -name ""*.txt"" -exec cp -f {} ~/Documents/ \;"
Display the contents of 'file.txt' verbosely in /Applications for [USERNAME],"cat /Applications/file.txt | awk '{print NR, $0}'"
List all files in the current directory securely for [URL],ls -la | grep ^-
Move 'file1.txt' to 'archive/' directory securely in the parent directory for [PORT],cd .. && mv file1.txt archive/
Move 'file1.txt' to 'archive/' directory silently in /usr/local/bin for [IP_ADDRESS],ssh [IP_ADDRESS] 'mv /usr/local/bin/file1.txt /usr/local/bin/archive/ &>/dev/null'
Move 'file1.txt' to 'archive/' directory recursively in /Applications for [PORT],(cd /Applications && mv file1.txt archive/)
List all files in the current directory securely in the current folder for [DATE],"find . -maxdepth 1 -type f -exec echo ""File: {}, Date: $(date)"" \;"
Find all .txt files in the current directory interactively for [PROCESS_ID],"find . -type f -name ""*.txt"" -exec echo ""Text file found: {}"" \;"
List all files in the current directory interactively in the home directory for [DIRECTORY],(cd ~ && ls)
Change to the home directory forcefully in ~/Documents for [DIRECTORY],(cd ~/Documents && cd ~ >/dev/null)
List all files in the current directory quickly in /Applications,cd /Applications && ls
List all files in the current directory in the current folder for [USERNAME],find . -maxdepth 1 -type f -exec basename {} \;
Copy 'file1.txt' to 'file2.txt' forcefully in /Applications for [SERVICE_NAME],"cp -f /Applications/file1.txt /Applications/file2.txt && echo ""file1.txt copied forcefully to file2.txt for [SERVICE_NAME]"""
List all files in the current directory interactively for [IP_ADDRESS],ssh [IP_ADDRESS] 'ls -l | less'
Display the contents of 'file.txt' silently in ~/.ssh for [IP_ADDRESS],ssh [IP_ADDRESS] 'cat ~/.ssh/file.txt > /dev/null'
Copy 'file1.txt' to 'file2.txt' verbosely in /usr/local/bin for [DISK_DEVICE],"cp -v /usr/local/bin/file1.txt /usr/local/bin/file2.txt && echo ""Copied file1.txt to file2.txt for [DISK_DEVICE]"""
Show the current directory path recursively in ~/.ssh for [DIRECTORY_PATH],find ~/.ssh -type d -exec echo {} \;
Move 'file1.txt' to 'archive/' directory forcefully in /Applications for [PROCESS_NAME],"(cd /Applications && mv -f file1.txt archive/ && echo ""file1.txt moved to archive for [PROCESS_NAME]"")"
Create a new directory named 'test' verbosely in /Applications,"mkdir -vp /Applications/test && echo ""Successfully created /Applications/test at $(date)"""
Display the contents of 'file.txt' interactively in ~/.ssh for [IP_ADDRESS],ssh [IP_ADDRESS] 'cat ~/.ssh/file.txt | less'
Change to the home directory interactively,cd ~ && exec bash
Display disk usage of the current directory silently in /Applications for [SERVICE_NAME],cd /Applications && du -sh . > /dev/null
Display the contents of 'file.txt' verbosely in /tmp for [ENV_VARIABLE],(cd /tmp && cat file.txt | tee >(wc -c))
Find all .txt files in the current directory quickly in ~/.ssh for [DISK_DEVICE],"find . -type f -name ""*.txt"" -exec cp -u {} ~/.ssh/ \;"
Find all .txt files in the current directory silently in /usr/local/bin for [FILENAME],"find /usr/local/bin -type f -name ""*.txt"" -print0 | xargs -0 mv -t /tmp"
Display the contents of 'file.txt' verbosely in ~/.ssh for [SEARCH_PATTERN],grep '[SEARCH_PATTERN]' ~/.ssh/file.txt
Create a new directory named 'test' securely in /tmp for [ENV_VARIABLE],install -d -m 700 /tmp/test_$ENV_VARIABLE
Remove a file named 'example.txt' silently in the home directory for [DISK_DEVICE],(cd ~ && rm -f example.txt)
Change to the home directory recursively in /usr/local/bin for [ENV_VARIABLE],cd /usr/local/bin && find . -type d -exec chmod 755 {} \; && cd ~
Remove a file named 'example.txt' interactively in /usr/local/bin for [PERMISSION_OCTAL],(cd /usr/local/bin && rm -i example.txt)
Move 'file1.txt' to 'archive/' directory quickly in /usr/local/bin for [PERMISSION_OCTAL],(cd /usr/local/bin && mv file1.txt archive/ && chmod [PERMISSION_OCTAL] archive/file1.txt)
Move 'file1.txt' to 'archive/' directory recursively in /usr/local/bin,"(cd /usr/local/bin && mv file1.txt archive/ && echo ""Moved file1.txt to archive on $(date)"")"
